Scheme Name	Net Asset Value
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.7293
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1299.1049
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1270.8785
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1139.496
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1297.5533
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1141.3091
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1163.9925
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1120.2266
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1112.6321
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1225.9584
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.7896
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1138.8225
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1103.2519
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.2029
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.2519
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.341
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.8249
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.4836
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.6281
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	12.9614
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.7313
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.6695
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2619
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.0749
UTI Banking & PSU Fund- Regular Plan - Growth Option	21.967
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.0499
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.1339
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7145
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8879
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0344
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6901
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2021
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2765
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.1470
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3641
Axis Corporate Bond Fund - Direct Plan Growth	18.1336
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.1992
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2058
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.2397
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2189
Axis Corporate Bond Fund - Regular Plan Growth	17.1361
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5357
BANDHAN Corporate Bond Fund - Direct Growth	19.8530
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.8325
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3403
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.1711
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.8654
